Lab_No,Sex,Age,Town,Range,Section,Tag_Date,TB+
81197,female,9.5,28N,07E,29,2000-11-20,Pos
539063,male,3.5,30N,05E,24,2018-11-19,Pos
B-1815,male,2.5,30N,04E,25,1996-11-16,Pos
95-A-313,male,3.5,29N,04E,23,Q,Pos
F-0383,male,3.5,30N,04E,16,1997-11-15,Pos
F-0382,female,3.5,30N,04E,32,1997-11-16,Pos
5916 (1526),male,1.5,31N,06E,31,1998-10-08,Pos
789,male,1.5,27N,05E,1,1998-10-05,Pos
95-A-267,male,2.5,28N,04E,17,Q,Pos
B-65,male,1.5,28N,07E,34,1996-10-01,Pos
B-3067,female,3.5,28N,06E,13,1996-11-30,Pos
95-A-279,male,1.5,30N,05E,33,Q,Pos
B-261,male,1.5,29N,06E,15,1996-10-06,Pos
B-685,male,2.5,29N,07E,29,1996-11-15,Pos
B-2614,male,2.5,29N,04E,11,1996-11-15,Pos
95-A-255,female,5.5,29N,04E,4,Q,Pos
B-688,male,2.5,29N,04E,4,1996-11-16,Pos
95-A-253,male,1.5,29N,04E,3,Q,Pos
7882,male,1.5,30N,04E,26,1998-11-23,Pos
B-1359,male,2.5,28N,07E,32,1996-11-15,Pos
9418,female,2.5,28N,05E,11,1998-10-21,Pos
9425,female,1.5,29N,05E,25,1998-10-22,Pos
66646,female,1.5,30N,06E,16,1999-12-07,Pos
541698,male,3.5,29N,06E,17,2016-12-02,Pos
95-A-302,male,3.5,28N,04E,9,Q,Pos
B-1856,female,3.5,28N,07E,6,1996-11-16,Pos
B-1829,female,5.5,28N,07E,21,1996-11-19,Pos
95-A-297,female,1.5,29N,04E,10,Q,Pos
81681,female,5.5,28N,04E,4,2000-11-19,Pos
B-1847,male,2.5,29N,04E,29,1996-11-19,Pos
9446,female,5.5,29N,05E,25,10/  /98,Pos
F-0414,female,3.5,28N,06E,3,1997-11-16,Pos
F-0413,male,1.5,29N,05E,3,1997-11-16,Pos
F-0412,female,2.5,29N,05E,26,1997-11-15,Pos
B-310,male,1.5,28N,06E,5,1996-10-22,Pos
B-1358,female,3.5,29N,05E,2,1996-11-17,Pos
F-1269,male,1.5,27N,07E,17,1997-11-15,Pos
540637,female,2.5,28N,04E,20,2017-12-04,Pos
F-1224,male,3.5,29N,04E,18,1997-11-15,Pos
9933 (9935),female,6.5,29N,06E,9,1998-12-12,Pos
B-3467,female,3.5,28N,04E,36,1996-12-14,Pos
F-1244,male,2.5,30N,05E,27,1997-11-15,Pos
617958,female,7.5,28N,06E,11,2018-11-25,Pos
F-1196,male,1.5,28N,06E,27,1997-11-18,Pos
617969,male,3.5,29N,05E,25,2018-11-25,Pos
540993,male,3.5,27N,03E,11,2017-11-25,Pos
B-3664,male,2.5,29N,04E,10,1996-11-15,Pos
F-1273,male,2.5,30N,05E,27,1997-11-17,Pos
F-1274,male,3.5,30N,05E,23,1997-11-15,Pos
F-1287,male,2.5,28N,07E,18,1997-11-19,Pos
56805,male,2.5,27N,07E,11,2000-01-03,Pos
81661,male,5.5,28N,04E,3,2001-11-16,Pos
5640,male,2.5,30N,07E,30,1998-11-19,Pos
554800,male,2.5,28N,08E,6,2018-11-18,Pos
F-0961,female,1.5,29N,05E,3,1997-11-18,Pos
551504,male,3.5,27N,07E,14,2014-11-17,Pos
551505,male,3.5,27N,03E,11,2016-11-21,Pos
551612,male,4.5,28N,07E,3,2016-11-01,Pos
552213,male,2.5,28N,06E,26,2016-11-26,Pos
B-1019,female,6.5,28N,07E,21,1996-11-15,Pos
7278 (7283),female,7.5,29N,03E,13,1998-11-22,Pos
554098,male,4.5,28N,04E,33,2018-11-28,Pos
F-1329,male,2.5,30N,05E,34,1997-11-19,Pos
5552,male,Q,29N,05E,22,1998-11-07,Pos
B-3502,female,5.5,28N,04E,3,1996-12-03,Pos
F-1153,male,1.5,28N,07E,33,1997-11-18,Pos
540796,male,2.5,28N,06E,11,2017-11-21,Pos
617794,female,3.5,27N,07E,11,2018-11-15,Pos
9946,female,2.5,28N,07E,32,Q,Pos
552392,male,2.5,29N,04E,28,2017-11-06,Pos
81717,male,3.5,28N,04E,24,2000-11-17,Pos
B-3439,male,4.5,29N,05E,7,1996-11-23,Pos
B-2293,female,7.5,28N,06E,9,1996-11-15,Pos
F-1476,male,3.5,28N,07E,4,1997-11-15,Pos
F-1477,female,4.5,29N,04E,3,1997-11-19,Pos
58266,female,3.5,29N,05E,16,1999-12-02,Pos
B-512,male,1.5,29N,04E,32,1996-11-15,Pos
B-2290,male,1.5,28N,06E,4,1996-11-15,Pos
81719,female,4.5,27N,05E,24,2000-11-18,Pos
B-3330,male,1.5,28N,04E,4,1996-12-08,Pos
F-1027,female,3.5,28N,07E,32,1997-11-17,Pos
81716,female,3.5,27N,05E,24,2000-11-17,Pos
81715,male,3.5,29N,05E,23,2000-11-17,Pos
81714,male,3.5,27N,05E,19,2000-11-18,Pos
81711,male,1.5,27N,05E,1,2000-11-15,Pos
616680,female,5.5,29N,07E,30,2018-11-20,Pos
81720,male,1.5,27N,05E,12,2000-11-18,Pos
95-A-9,female,3.5,29N,05E,11,Q,Pos
B-3418,female,2.5,28N,04E,9,1996-11-18,Pos
B-397,male,1.5,28N,06E,27,1996-11-02,Pos
B-201,female,3.5,29N,06E,5,1996-10-16,Pos
F-0710,female,3.5,28N,07E,7,1997-11-16,Pos
577180,female,2.5,28N,04E,13,2017-12-19,Pos
6200,male,2.5,27N,07E,3,1998-10-05,Pos
95-A-7,male,3.5,29N,05E,5,Q,Pos
B-119,female,2.5,29N,06E,26,1996-10-10,Pos
81023,male,3.5,29N,06E,10,2000-11-16,Pos
540513,female,9.5,28N,05E,14,2017-12-10,Pos
95-A-87,male,2.5,28N,06E,18,Q,Pos
F-0653,female,4.5,27N,07E,18,1997-11-15,Pos
6304 (6305),male,2.5,30N,05E,3,1998-11-15,Pos
539897,female,5.5,27N,07E,24,2017-11-06,Pos
B-3333,male,2.5,31N,05E,34,11/  /96,Pos
F-1381,male,2.5,28N,07E,18,1997-11-19,Pos
B-3002,male,4.5,29N,04E,33,11/  /96,Pos
F-2205,male,2.5,29N,05E,27,1997-11-15,Pos
F-0107,male,1.5,27N,05E,14,1997-10-02,Pos
9499 (1433),female,2.5,27N,05E,5,1998-10-18,Pos
615542,male,3.5,27N,07E,1,2018-11-05,Pos
B-888,female,10.5,28N,04E,12,1996-11-19,Pos
60116,male,1.5,26N,07E,9,1999-11-19,Pos
538044,male,1.5,30N,06E,26,2015-11-18,Pos
542779,female,3.5,29N,05E,14,2017-11-18,Pos
B-2970,female,5.5,29N,04E,17,1996-11-29,Pos
95-A-114-125_pooled,Q,Q,29N,04E,18,Q,Pos
7217,female,4.5,27N,05E,23,1998-10-01,Pos
B-2811,female,5.5,28N,07E,5,1996-11-27,Pos
B-1633,female,3.5,28N,06E,1,1996-11-15,Pos
7218 (10099),male,1.5,27N,07E,1,1998-10-06,Pos
6822,male,2.5,29N,04E,10,1998-11-19,Pos
537794,male,3.5,29N,07E,28,2017-11-15,Pos
B-1532,female,2.5,29N,04E,10,1996-11-19,Pos
6070,female,8.5,28N,04E,17,1998-11-18,Pos
F-2125,male,2.5,29N,04E,17,1997-11-16,Pos
F-2141,female,4.5,29N,04E,10,1997-11-19,Pos
95-A-169,male,2.5,29N,04E,21,Q,Pos
615573,male,5.5,30N,06E,29,2018-11-13,Pos
F-2116,female,5.5,29N,04E,26,1997-11-17,Pos
